,Topic,Count,Name
104,45,21,45_marketing_unternehmen_digitalisierung_kunden
105,60,20,60_lukaschenko_belarus_sanktionen_russland
109,33,19,33_russland_vergiftung_russischen_russische
111,76,19,76_lawine_bergrettung_schneemassen_alpen
110,161,19,161_handball_dhb_flensburg_werfer
108,40,19,40_5g_telekom_ametsreiter_fritzbox
107,118,19,118_malediven_thilafushi_schüler_beybe
106,4,19,4_fitness_übungen_workout_workouts
112,20,18,20_schiff_göttert_oltmanns_cruises
113,153,18,153_mehrwertsteuer_sparsam_euro_verschwenderisch
114,164,18,164_werder_kohfeldt_bremer_bundesliga
115,143,18,143_kinderbonus_300_kinderfreibetrag_2021
116,67,18,67_schrager_thiemke_gantz_buchmesse
117,64,18,64_armenien_aserbaidschan_aserbaidschanische_armenischen
121,135,17,135_barcelona_madrid_spanischen_katalonien
120,41,17,41_roblox_spieler_kasparov_scrabble
119,15,17,15_politische_politik_politikerin_politiker
118,42,17,42_strand_insel_hanseatic_baskenland
122,55,16,55_nordkorea_südkorea_nordkoreanischen_nordkoreanische
123,54,16,54_disziplinarkammer_barańska_parchimowicz_sejm
124,84,16,84_roller_illner_kanzlerin_gebhardt
125,160,16,160_juventus_inter_ssc_alitalia
126,150,16,150_saudi_dollar_barrel_ölpreis
127,51,16,51_hund_hunde_wölfe_hunden
128,124,16,124_satire_strafanzeige_polizisten_wirecard
133,170,15,170_elefanten_wolhuter_grammozis_wilderer
135,8,15,8_wartenburg_walter_mir_ihn
134,110,15,110_virus_coronavirus_schuld_pandemie
130,157,15,157_rebounds_basketball_lakers_dallas
132,31,15,31_lufthansa_airlines_airline_flugzeuge
129,90,15,90_china_wuhan_virus_coronavirus
131,146,15,146_deutschland_welt_hiroshima_mokdad
136,63,14,63_libyen_libyschen_libysche_waffenembargos
137,163,14,163_mainzer_mateta_beierlorzer_schröder
138,165,14,165_demme_moritz_siebert_league
139,26,14,26_mboro_schädel_mbembe_elsässer
146,149,13,149_bundesbank_huffschmid_geldpolitik_postfinance
150,137,13,137_instagram_hilda_erkältungsvirus_barrymore
149,112,13,112_germanen_hölderlin_tausendundeine_karlin
148,109,13,109_watzke_werder_fußball_stindl
147,68,13,68_mihambo_finnland_vogel_weltmeisterin
143,22,13,22_mönchengladbach_zittau_einäscherer_alemannia
145,123,13,123_pocken_coronavirus_virus_krankheit
144,47,13,47_mydlink_geräte_router_komponenten
142,16,13,16_cruises_tui_reederei_fridtjof
141,36,13,36_drewermann_lindner_frauen_drewermanns
140,74,13,74_weihnachtsbaum_melchior_kransberg_könige
154,94,12,94_ungarn_brüssel_ungarns_ungarische
156,85,12,85_deutschland_bundesregierung_obama_russland
155,99,12,99_beutner_sauvignon_corvers_weinsberg
152,25,12,25_cannon_rtl_mannheims_travis
153,18,12,18_wirecard_mccrum_siemens_braun
151,162,12,162_basaksehir_klub_klubs_trainer
161,172,11,172_steidl_gerhard_staeck_niedersachsen
164,77,11,77_dezember_gardasee_chanukka_18
162,101,11,101_bahn_baustelle_frankfurt_aldred
163,53,11,53_mardini_markwitz_darß_schwimmflügel
160,29,11,29_schäfer_setzer_holter_frauen
159,72,11,72_betriebsrente_karstadt_baerbock_kaufhof
158,30,11,30_klemmer_germany_zoo_bonobos
157,139,11,139_bohmann_handball_gislason_demokraten
165,140,10,140_eintracht_hertha_kohfeldt_bundesliga
166,129,10,129_floyd_zeitmagazin_mich_albanisch
167,83,10,83_gustafsson_kokain_rauschgift_escobars
168,126,10,126_gas_co2_heizen_liter
169,122,10,122_wohnungseigentümer_koczelnik_datteln_goetheturm
170,19,10,19_schiff_insel_küstenwache_rettungsschiff
171,132,10,132_scholz_gavric_frauen_ceylan
